Comment
right sir
sir aapke course ka price bahut mahnga hai hum garib ke pass itna paisa bahut muskil se aata hai sir us paise me month ka rasan bhi nahi ho pata hai please sir course ko free kr dijiye hume bhi sikhna hai ai ke bare me please sir
hi dhruv can you please reduce the cost to within k
big fan brō
the great scientist in the world nambi narayana sir par video banao bhai please
dhruv is pregnant as he said in future every thing is possible
make video on ssc protest
bhai sab se zayada khatra to aap ki job ko hai
sir this is high time ek video ssc pe bhi bana dijiye
sir your courses too expensive
make a video on sects of every religion
we need this type of another video
sir mai chatgpt ko puri tarah se janna chahta hu plz aur videos banaye chatgpt par
sir chandrayan ke bare me video kb ayega i m waiting for this
bhai course ki prize kam kar do
having trouble getting my email verified on dhruvratheeacademy app
bhai onpassive company par ek video banao plzzz
hello sir
चपक चपक dhruv rathee sir क video अधभकत भ दखत ह
dogle aadmi isko itna subscibe kiya kisne
please keep water for birds save organism
is more for me
sir chandrayan k uper ek video bnaiye
waiting for part
seema haider pr video banao
same bro
sir please make a video on the situation in manipur
we can use al and program them likea star war good droids like rd
if you cant afford the course fees what can someone like me do
""
dekh rahe ho binod
bda expensive course he tumhara
hello
thank you guys for your love and support apne itna pyar dene ke liye
youtube ka course nikalo issse aacha jyada bikega ye sab to thik hai youtube me king ho bhai tum uska course nikalo kese video banaye kese video edit kare kese script likhe vagera ka course
hatsofff bhai yar quality contet and editing at its peak
it is a great opportunity to creat a effective tool or app which can identify or seperate ai generted and original data
love you friends
भय आप एक वडय anne frank topic पर बनओ please
hritik amir tom cruse three face in sec
make a video on manipulation by politicians
kam ad lagaw beta kam hi luto
dhruv how do i register take
join my ai course learn to harness the power of chatgpt effectively and transform your life use coupon code take for discount hurry up offer only valid for the first people
is this course valid outside india like pakistan
chandrayan pe video kab
no money to buy this course
nd
the amount is showing in dollar only to pay but not showing in rupee pls confirm
dhruv this course is costly
humanoid robot ke bare mei ak video sahiye
ivc script decode karwa do rathi ji bas
""
yes we need more vedios on this topics
discount karke kitne ka course padega
dhruv im watching you from many years i dont think i have skip a single video till now but the price which you are offering its beyond my limits i was trying to complete this course at your class because i am addicted to listen to you
bro dark web pay b video banao
please make part
make video on manish dubey jyoti maurya everyone is highlighting jyoti embarresing him but no one talks about manish dubey who had an affair with nearly girls excluding her wife
your course price is to coastly midle class cant afford it
want more videos on topic
i cant afford this much amount
is this for inr or
to costly
bhai tu apna course thoda sasta kar de
free me course dy dya kro dhruv bhai
i like the content but honestly i am scared of some facts you explained here plz create more videos on this topic its required
why would i take your course and not ask ai itself that how can it improve my life in general
thank sir making video on this topic but sir i am th pass student i am confused wher can i go software engineer ya artificial intelligence please suggest anyone
hrittik rathee
sir please make video about mtfe company it says that ai trades and withdraws profits the one who is also giving i have a lot of money invested the money of many people of india is invested in it so you give information about it to what extent is this true and to what extent is it not does ai really trade in mtfe and give us profits or is he taking people towards some big scam sir a lot of money of crores of people of india is invested in this company
love you friends
unfortunately im a student and i have not money or my parents give me
thanks for the great information always sir
it can also updates to programme itself to hack nukes or any other machinery but no one is discussing about it
bhai koi free course bhi to doo hum jaise log ke liye
""
samjle mere batta ko jra jra
iska course ise accha thereal world se sikh le ai ke alawa bhi bhoot sare skills hai waha
dhruv rathee bhi please engineer muhammad ali mirza ke broadcast record kijiye
k
field to fetch
next video please
sir i want you to read quran once in your life thoroughly in your own language
why the course is times more in us dollars
you need to reduce the course price to some where to rs to rs
hasan kherani irfan bhai sumra is itne you sare not a not a game ho y mb h i gdhs
explain chndrayaan
ai aap kounsi hai
please make more videos
course selling vedio
dhruv rathee make a video on mark zuckerberg vs elon musk ufc fight
namazio ko sach se gan kyo jalti hai day
sir ai ko support mat karo hamare india mein farmer hai aur usse jude hue log app is par action la sakta ho
it should be free
good evening sir apko main icon manta hu main ek student hu khud kama k pdai complete kr raha india mainas a staff nurse apka sb vedios main dekhta hu but apka k bhut kom hoga hamare liye din ka mehenat hain itna paisa kya kroge kamakar hum kabil banna chahata hain lekin familyjob societyjhimmedari last sbka accha sacch k khud ka bura ho jhata or jhis ke liye kar rahe usko lagta kuch nehi kiya last do char baate sona kar cola jahta hai
same my concern
bhai price kuchh jyada e hai aapke
i want to know more about this topic please make another vdo
hii are u going to drop this yr or taking admission in any private engineering clg
sir ek video chandriyan pay banao
how to join
we need more videos about ai
nikal
